"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OLFM4",4502.1553295235,3.65083440085145,0.641949800131619,5.6871026365347,1.29212805833523e-08,1.92361320832842e-07
"MMP8",6532.4366243622,3.64932993137678,0.560550669358438,6.51025880595864,7.5021437104725e-11,2.38878175931475e-09
"FABP2",48.5052481070409,3.63105280789961,0.729420091384731,4.97799944200388,6.42448414460968e-07,5.52752400901121e-06
"RNU5D-1",1.4982483796494,3.62281114085214,1.04812520026991,3.45646792951758,0.000547304329551001,0.00192747177412623
"LOC100130698",5.36268144106811,3.61139158775413,0.818057559834263,4.41459350181397,1.01199969272648e-05,6.08653202643861e-05
"PCOLCE2",79.439228956716,3.60007442691626,0.563739935753644,6.38605533969037,1.70219423186223e-10,4.8364409561348e-09
"MPO",1719.00006342572,3.5954115473168,0.47806172040488,7.52081037626643,5.44377561618754e-14,5.37789197283266e-12
"GUCY2EP",3.49388232866267,3.59119992082485,0.89525843490665,4.01135558270312,6.03711022468439e-05,0.000285116183790929
"LOC100507351",1.78001436303845,3.5909588499821,0.983058670475897,3.65284286465194,0.000259352953243109,0.00101404004288112
"CCNA1",185.931451810853,3.58567619724618,0.615849774246546,5.82232282480421,5.80353102171377e-09,9.67121294137491e-08
"ADAMTS3",10.5812380869727,3.5855475813954,0.796670228276235,4.50066721980247,6.77404890239909e-06,4.29402033747338e-05
"MIR548A1HG",1.83526952217888,3.56619061988117,0.951989628910345,3.74603935965464,0.000179648416905182,0.000735859473370491
"CYP19A1",97.5192734422896,3.56108074987767,0.647864930037277,5.49664071131736,3.87094239849864e-08,4.9059101555709e-07
"UTY",434.475026117606,3.5528118589582,0.729657479130955,4.86915019796646,1.12079195794488e-06,9.01877037504182e-06
"LINC00599",1.47094709132534,3.54738806405121,1.23224037862229,2.878811736406,0.00399176548842404,0.0108077822022489
"LINC01093",143.268060305471,3.54531304930949,0.628781462161248,5.6383867252122,1.71650675209632e-08,2.43855354516103e-07
"ANOS1",19.8870585894519,3.536536341482,0.618094001503974,5.72168041248863,1.05475573719031e-08,1.61260432708207e-07
"TMEM92",41.1757977848918,3.53254860547416,0.526397101376482,6.71080558049589,1.9355285379113e-11,7.45720435086466e-10
"DPEP1",3.4448181518015,3.52965931070132,0.943113347748129,3.74256108147455,0.00018215423637389,0.000744698474003952
"GPR1-AS",2.7317504411244,3.52494302971641,0.873943547385351,4.03337611481002,5.49811723696605e-05,0.00026337155265918
"CEACAM8",1765.42676450108,3.52169218404843,0.597715742672734,5.89191806844655,3.81738448778938e-09,6.77122478011054e-08
"SLC2A14",164.220318970952,3.51778740782497,0.591581475296049,5.94641237889429,2.74083139868159e-09,5.06711862420366e-08
"MYH7",4.2346167011239,3.51466160347326,1.12597672716375,3.12143361286553,0.00179972821041637,0.00541126334407071
"WFDC5",1.00298123320946,3.51463617346726,1.6358012217038,2.1485716765797,0.0316683688983889,0.0638538265081185
"CWC25",1.85404464905535,3.50864460362475,0.868436930078788,4.04018355519085,5.34093842049501e-05,0.000257091048806636
"KRT38",2.17208618753373,3.50540428350739,1.19580580960931,2.93141600027238,0.00337420604056456,0.00934589578223374
"LOC100128076",1.72164240174449,3.50137886825159,1.18767038062002,2.94810658359915,0.00319726809345753,0.00891735522692426
"IL1R2",26106.718797873,3.49657411600457,0.499495620320887,7.0002097591132,2.55579571814146e-12,1.39871729301923e-10
"TXLNGY",194.937344225055,3.49419633059432,0.751162136570825,4.65172052806853,3.29176997046591e-06,2.29257616453562e-05
"TMSB4Y",49.2991573175888,3.48563070692644,0.726454056394302,4.79814335985279,1.60143144865243e-06,1.229288421959e-05
"NFASC",21.0051937623813,3.47005798354771,0.690293918484693,5.0269282266966,4.98398782016975e-07,4.46565308687209e-06
"LHX1",1.25752340736556,3.46978497805152,1.51196188417876,2.2948891862682,0.0217394756886981,0.0462955184243953
"MIR4434",3.02103305637958,3.46908738674723,0.841413437521143,4.12292843452486,3.74085948706469e-05,0.000189941795357971
"ZFY-AS1",3.15082350645564,3.46880900405686,0.944877282428168,3.67117409696065,0.000241438803104851,0.000952699119830368
"STAB2",8.17253822102304,3.4680520932961,0.838382535823505,4.13659868271181,3.52491801663164e-05,0.000180740007113101
"SNORD13E",1.62405214094972,3.46509567320953,1.0142270850463,3.4164889937359,0.000634342279577458,0.00219647490456216
"OR56A5",1.00297808935494,3.46424687039237,1.29349877743944,2.67819879756676,0.00740192718514001,0.0183798305355165
"DDX3Y",1067.36100801825,3.46267010877947,0.751193624902242,4.60955736842162,4.03527175354918e-06,2.73427629477212e-05
"ABCA13",410.472937436978,3.45636326042364,0.60806043326633,5.68424299844182,1.3139334540149e-08,1.95155081404341e-07
"HP",3020.92704113232,3.45484040073964,0.506239395069327,6.8245190603282,8.82203612159842e-12,3.80196205473092e-10
"FAM92B",3.53016303871098,3.45478154242433,0.931754940214653,3.70782208209,0.000209049443552897,0.000841791070360162
"CTSE",2.87401078747051,3.44780392654685,1.11041787019447,3.10496077115819,0.00190304262300286,0.00568728096331478
"COX6B2",30.7835845509539,3.44171185342958,0.645132277056259,5.33489328596939,9.56007645206507e-08,1.06086009661625e-06
"MIR26B",1.23612748391033,3.43073365332359,0.997226596957208,3.44027492226102,0.000581123562670012,0.00203171766084848
"CA12",35.3144945209137,3.42614891774055,0.574193573167359,5.9668883070935,2.41820819890432e-09,4.56709438663656e-08
"MYBPHL",5.1016824784434,3.39939696357909,0.85764049545494,3.96366190914978,7.38087640127188e-05,0.0003406449520702
"FFAR1",33.8639654322281,3.39786061319941,0.529740235880066,6.41420149548295,1.41562872452365e-10,4.17621313158095e-09
"BCORP1",38.4916217700397,3.39739213583075,0.752007847261419,4.51776154757295,6.24968070560358e-06,4.00245509018442e-05
"OVOL1-AS1",0.943650625014905,3.3956797311224,1.58786624359972,2.13851748836498,0.0324747662912001,0.065199989352129
"SEMA6B",446.505841423831,3.39424930345699,0.599722855582261,5.65969642788012,1.51640993899376e-08,2.20969145724477e-07
"GALNT14",762.694590921783,3.39131592522796,0.409090524578228,8.28989116461301,1.13352139419601e-16,2.79950719715281e-14
"MCEMP1",8296.35974831184,3.38897628844129,0.45290670621622,7.48272490101609,7.27971653011475e-14,6.80759510855003e-12
"TMIGD3",341.244934164999,3.38171822016364,0.565206225710211,5.98315812235496,2.18852119254135e-09,4.21596722531165e-08
"HTRA3",64.1565625481496,3.37126084400271,0.689756484814531,4.88761021929241,1.0206735518112e-06,8.33499588897453e-06
"LCN2",5369.204731021,3.3690327843014,0.495446054749049,6.7999992168832,1.04619719577799e-11,4.36232527694095e-10
"FFAR3",244.351247514571,3.35750117259453,0.527920503953218,6.35986128110694,2.01936033193434e-10,5.57320307082852e-09
"ANXA8",5.02672044040278,3.35388886715532,0.919405620018872,3.64788815091915,0.000264404688280224,0.00103044546126446
"ID1",128.142898770391,3.34079181925176,0.442643915587558,7.54735737148278,4.4417854809346e-14,4.50350292130127e-12
"EPCAM",50.9359140979113,3.3404561658673,0.708851085246196,4.71249354821415,2.44703830814141e-06,1.78492033199682e-05
"EIF1AY",300.353582605164,3.33219074628616,0.709785853337076,4.6946423778662,2.67073541539763e-06,1.92117427342121e-05
"IL22RA2",1.22512573139945,3.3316497296445,1.49509257277084,2.22839026179495,0.0258545019162746,0.0536761639093774
"CCIN",29.4640026791945,3.33065008973711,0.402614136098363,8.27256122205156,1.31111499361377e-16,3.15716490462197e-14
"LINC00278",14.6328118365706,3.32257233336947,0.777118796456221,4.27550118272894,1.90707788555703e-05,0.000105964662207588
"RPS4Y2",4.60845411756255,3.31368959706104,0.952492647654068,3.47896606364622,0.000503352325362362,0.00179466577749038
"USP9Y",239.01118075891,3.30268514333862,0.732004356940289,4.51183809498558,6.42682388278346e-06,4.10498459144365e-05
"RPS4Y1",1743.72749864436,3.30205314705018,0.755837616781962,4.36873353976338,1.2496913111672e-05,7.30180570771153e-05
"DUSP13",120.557572095671,3.30181713017633,0.491165104638914,6.72241797919195,1.78733353535929e-11,6.99821000511411e-10
"LOC105378577",4.47826825965151,3.29855811874323,0.815224557412064,4.04619572454309,5.20567128085821e-05,0.00025121920331896
"ITPRIP-AS1",7.6379728961525,3.28742286713776,0.686695045533086,4.78731117767961,1.69030644194896e-06,1.28805630133326e-05
"IL1RL1",257.545285597415,3.2772822889071,0.576760142087357,5.68222741094117,1.32951713397168e-08,1.97142266992215e-07
"GRB10",1787.83040773386,3.27562979035658,0.442031524722004,7.41039859638212,1.25920372657361e-13,1.07810224838729e-11
"IL18R1",6954.6604889825,3.27408252829908,0.467643353869906,7.00123823252259,2.53710103382253e-12,1.39871729301923e-10
"MT1G",3.4244448844923,3.2672869915588,0.845250358943142,3.86546655318083,0.000110877043618477,0.000483352651791431
"LTF",20067.3349322171,3.26263624967671,0.577317001884845,5.65137738716292,1.59167204980382e-08,2.2996963134401e-07
"LINC01580",0.904797228349546,3.2608196339899,1.14589612008911,2.84565029658738,0.00443208384086602,0.0118434821903791
"NECTIN2",1095.15325017315,3.25984598350821,0.545844322605248,5.97211667962279,2.34194931082579e-09,4.45392124126345e-08
"CHMP4C",35.1928076630549,3.25654068004863,0.650734224674384,5.00440972146217,5.60334642186656e-07,4.91991182638274e-06
"TTTY10",1.93927150252269,3.25472111655846,1.10737325511308,2.93913646688722,0.00329128122493358,0.00913854735040653
"POU2F3",1.09245617989314,3.25411410088036,1.33121965318404,2.4444606816742,0.0145068892370876,0.0327390714928837
"LINC01932",4.25497894254129,3.23703513338324,0.931773321643072,3.47405861296298,0.000512649035876874,0.00182342522657535
"CREB3L1",8.65728373168131,3.23430753160103,0.705013067504412,4.58758522455442,4.48402398301144e-06,2.99515388379793e-05
"IL1RL2",7.48084728031329,3.23203834729795,0.721482447955989,4.47971860778394,7.4741506939644e-06,4.6991527078502e-05
"CD163L1",95.2199412377653,3.22908006190411,0.713311923370095,4.52688362006915,5.98598840506386e-06,3.85279253709156e-05
"CCDC140",1.12492122353437,3.21696144755681,1.35051882484625,2.38201896069316,0.0172180108930355,0.0378725464539205
"LINC01579",0.815383432634875,3.20412542022924,1.89448444798514,1.69129148757962,0.090781145026488,0.1544746910865
